Date,Open,High,Low,Close,Adj Close,Volume
2017-03-08,430.666992,433.600006,420.066986,424.799988,371.390289,197998
2017-03-09,428.132996,429.333008,420.000000,421.299988,368.330353,385382
2017-03-10,423.967010,424.299988,414.166992,415.566986,363.318146,244152
2017-03-14,423.333008,427.200012,418.899994,424.467010,371.099182,216308
2017-03-15,424.000000,428.799988,422.166992,423.566986,370.312317,260954
2017-03-16,427.600006,432.899994,424.500000,431.333008,377.101898,225807
2017-03-17,437.333008,437.333008,425.399994,427.700012,373.925720,122427
2017-03-20,429.166992,431.666992,424.032990,429.066986,375.120819,108003
2017-03-21,429.066986,432.666992,423.299988,428.032990,374.216827,107924
2017-03-22,427.333008,431.933014,419.132996,429.733002,375.703094,114100
2017-03-23,434.733002,439.833008,432.166992,435.867004,381.065857,1185999
2017-03-24,434.666992,434.666992,430.333008,433.032990,378.588196,122319
2017-03-27,435.967010,435.967010,428.000000,430.132996,376.052765,119772
2017-03-28,430.600006,432.500000,427.333008,430.632996,376.489899,117838
2017-03-29,430.000000,434.000000,427.433014,428.233002,374.391693,80024
2017-03-30,430.000000,430.700012,423.967010,427.032990,373.342560,119658
2017-03-31,429.233002,438.666992,428.700012,432.632996,378.238464,164490
2017-04-03,434.666992,435.000000,424.200012,425.500000,372.002319,115464
2017-04-05,426.000000,428.799988,420.700012,425.233002,371.768860,160496
2017-04-06,425.600006,431.899994,422.200012,430.333008,376.227661,94701
2017-04-07,429.299988,453.100006,428.266998,450.132996,393.538208,447102
2017-04-10,459.333008,469.200012,453.367004,466.333008,407.701416,413337
2017-04-11,468.333008,475.333008,468.000000,473.566986,414.025879,200258
2017-04-12,479.299988,481.000000,465.867004,478.399994,418.251190,331618
2017-04-13,480.000000,493.799988,474.000000,487.233002,425.973663,296781
2017-04-17,486.666992,492.200012,479.399994,484.132996,423.263428,165596
2017-04-18,484.666992,491.000000,481.799988,483.566986,422.768555,114624
2017-04-19,478.666992,487.166992,474.833008,482.733002,422.039459,102130
2017-04-20,482.733002,486.666992,479.666992,480.967010,420.495514,54945
2017-04-21,484.132996,484.632996,475.700012,477.166992,417.173218,64976
2017-04-24,478.700012,478.700012,471.333008,476.700012,416.764984,79191
